2.34,matado,22,matado,matar,matar,VMP,matar,m a ' t a 4 ,matado,m a ' t a . D_o o ,matar,m a ' t a 4 ,matado,m a ' t a . d o ,matar,ma'ta4,matado,ma'ta.do
1,matados,1,matados,matar,matar,VMP,matar,m a ' t a 4 ,matados,m a ' t a . D_o o s ,matar,m a ' t a 4 ,matados,m a ' t a . d o s ,matar,ma'ta4,matados,ma'ta.dos
1,mátame,1,mátame,matar+me,matar,VMM+PP,matar,m a ' t a 4 ,mátame,' m a . t a . m e ,matar,m a ' t a 4 ,mátame,' m a . t a . m e ,matar,ma'ta4,mátame,'ma.ta.me
1.3,matando,2,matando,matar,matar,VMG,matar,m a ' t a 4 ,matando,m a ' t a n_d . d o ,matar,m a ' t a 4 ,matando,m a ' t a n . d o ,matar,ma'ta4,matando,ma'tan.do
2.2,matar,16,matar,matar,matar,VMN,matar,m a ' t a 4 ,matar,m a ' t a 4 ,matar,m a ' t a 4 ,matar,m a ' t a 4 ,matar,ma'ta4,matar,ma'ta4
1,matarla,1,matarla,matar+lo,matar,VMN+PP,matar,m a ' t a 4 ,matarla,m a ' t a 4 l a ,matar,m a ' t a 4 ,matarla,m a ' t a 4 l a ,matar,ma'ta4,matarla,ma'ta4la
1.48,matarle,3,matarle,matar+le,matar,VMN+PP,matar,m a ' t a 4 ,matarle,m a ' t a 4 l e ,matar,m a ' t a 4 ,matarle,m a ' t a 4 l e ,matar,ma'ta4,matarle,ma'ta4le
1.48,matarles,3,matarles,matar+le,matar,VMN+PP,matar,m a ' t a 4 ,matarles,m a ' t a 4 l e s ,matar,m a ' t a 4 ,matarles,m a ' t a 4 l e s ,matar,ma'ta4,matarles,ma'ta4les
1,matarlos,1,matarlos,matar+lo,matar,VMN+PP,matar,m a ' t a 4 ,matarlos,m a ' t a 4 l o s ,matar,m a ' t a 4 ,matarlos,m a ' t a 4 l o s ,matar,ma'ta4,matarlos,ma'ta4los
1,matarme,1,matarme,matar+me,matar,VMN+PP,matar,m a ' t a 4 ,matarme,m a ' t a 4 . m e ,matar,m a ' t a 4 ,matarme,m a ' t a 4 . m e ,matar,ma'ta4,matarme,ma'ta4.me
1,matarnos,1,matarnos,matar+nos,matar,VMN+PP,matar,m a ' t a 4 ,matarnos,m a ' t a 4 . n o s ,matar,m a ' t a 4 ,matarnos,m a ' t a 4 . n o s ,matar,ma'ta4,matarnos,ma'ta4.nos
1.3,mate,2,mate,mate,mate,NC,mate,' m a . t e ,mate,' m a . t e ,mate,' m a . t e ,mate,' m a . t e ,mate,'ma.te,mate,'ma.te
1,maté,1,maté,matar,matar,VMI,matar,m a ' t a 4 ,maté,m a ' t e ,matar,m a ' t a 4 ,maté,m a ' t e ,matar,ma'ta4,maté,ma'te
1.6,mato,4,mato,matar,matar,VMI,matar,m a ' t a 4 ,mato,' m a . t o ,matar,m a ' t a 4 ,mato,' m a . t o ,matar,ma'ta4,mato,'ma.to
1,mató,1,mató,matar,matar,VMI,matar,m a ' t a 4 ,mató,m a ' t o ,matar,m a ' t a 4 ,mató,m a ' t o ,matar,ma'ta4,mató,ma'to
2.79,mayor,61,mayor,mayor,mayor,AQ,mayor,m a ' j\\ o 4 ,mayor,m a ' j\\ o 4 ,mayor,m a ' L o 4 ,mayor,m a ' L o 4 ,mayor,ma'Lo4,mayor,ma'Lo4
2.32,mayores,21,mayores,mayor,mayor,AQ,mayor,m a ' j\\ o 4 ,mayores,m a ' j\\ o . 4 e s ,mayor,m a ' L o 4 ,mayores,m a ' L o . 4 e s ,mayor,ma'Lo4,mayores,ma'Lo.4es
1,Mayot,1,mayot,mayot,mayot,NP,mayot,m a ' j\\ o d ,Mayot,m a ' j\\ o d ,mayot,m a ' L o d ,Mayot,m a ' L o d ,mayot,ma'Lod,Mayot,ma'Lod
1.3,mayúscula,2,mayúscula,mayúsculo,mayúsculo,AQ,mayúsculo,m a ' j\\ u s . k u . l o ,mayúscula,m a ' j\\ u s . k u . l a ,mayúsculo,m a ' L u s . k u . l o ,mayúscula,m a ' L u s . k u . l a ,mayúsculo,ma'Lus.ku.lo,mayúscula,ma'Lus.ku.la
4.06,me,1156,me,me,me,PP,me,m e ,me,m e ,me,' m e ,me,' m e ,me,'me,me,'me
1,meado,1,meado,mear,mear,VMP,mear,m e ' a 4 ,meado,m e ' a . D_o o ,mear,m e ' a 4 ,meado,m e ' a . d o ,mear,me'a4,meado,me'a.do
1,mecachis,1,mecachis,mecachis,mecachis,I,mecachis,m e ' k a . tS i s ,mecachis,m e ' k a . tS i s ,mecachis,m e ' k a . C i s ,mecachis,m e ' k a . C i s ,mecachis,me'ka.Cis,mecachis,me'ka.Cis
1,mechero,1,mechero,mechero,mechero,NC,mechero,m e ' tS e . 4 o ,mechero,m e ' tS e . 4 o ,mechero,m e ' C e . 4 o ,mechero,m e ' C e . 4 o ,mechero,me'Ce.4o,mechero,me'Ce.4o
1,media,1,media,medio,medio,AQ,medio,' m e . D_o j o ,media,' m e . D_o j a ,medio,' m e . d j o ,media,' m e . d j a ,medio,'me.djo,media,'me.dja
1,mediana,1,mediana,mediano,mediano,AQ,mediano,m e ' D_o j a . n o ,mediana,m e ' D_o j a . n a ,mediano,m e ' d j a . n o ,mediana,m e ' d j a . n a ,mediano,me'dja.no,mediana,me'dja.na
1.6,mediano,4,mediano,mediano,mediano,AQ,mediano,m e ' D_o j a . n o ,mediano,m e ' D_o j a . n o ,mediano,m e ' d j a . n o ,mediano,m e ' d j a . n o ,mediano,me'dja.no,mediano,me'dja.no
2.53,médico,34,médico,médico,médico,AQ,médico,' m e . D_o i . k o ,médico,' m e . D_o i . k o ,médico,' m e . d i . k o ,médico,' m e . d i . k o ,médico,'me.di.ko,médico,'me.di.ko
2.15,medio,14,medio,medio,medio,AQ,medio,' m e . D_o j o ,medio,' m e . D_o j o ,medio,' m e . d j o ,medio,' m e . d j o ,medio,'me.djo,medio,'me.djo
2.71,mejor,51,mejor,mejor,mejor,AQ,mejor,m e ' x o 4 ,mejor,m e ' x o 4 ,mejor,m e ' x o 4 ,mejor,m e ' x o 4 ,mejor,me'xo4,mejor,me'xo4
1.7,Melchor,5,melchor,melchor,melchor,NP,melchor,m e l_j ' tS o 4 ,Melchor,m e l_j ' tS o 4 ,melchor,m e l ' C o 4 ,Melchor,m e l ' C o 4 ,melchor,mel'Co4,Melchor,mel'Co4
1,melena,1,melena,meleno,meleno,AQ,meleno,m e ' l e . n o ,melena,m e ' l e . n a ,meleno,m e ' l e . n o ,melena,m e ' l e . n a ,meleno,me'le.no,melena,me'le.na
1,melliza,1,melliza,mellizo,mellizo,NC,mellizo,m e ' j\\ i . T o ,melliza,m e ' j\\ i . T a ,mellizo,m e ' L i . T o ,melliza,m e ' L i . T a ,mellizo,me'Li.To,melliza,me'Li.Ta
1,melocotón,1,melocotón,melocotón,melocotón,NC,melocotón,m e . l o . k o ' t o n ,melocotón,m e . l o . k o ' t o n ,melocotón,m e . l o . k o ' t o n ,melocotón,m e . l o . k o ' t o n ,melocotón,me.lo.ko'ton,melocotón,me.lo.ko'ton
1,melón,1,melón,melón,melón,NC,melón,m e ' l o n ,melón,m e ' l o n ,melón,m e ' l o n ,melón,m e ' l o n ,melón,me'lon,melón,me'lon
1.78,menos,6,menos,menos,menos,RG,menos,' m ~e . n o s ,menos,' m ~e . n o s ,menos,' m e . n o s ,menos,' m e . n o s ,menos,'me.nos,menos,'me.nos
1,mensajera,1,mensajera,mensajero,mensajero,AQ,mensajero,m ~e n . s a ' x e . 4 o ,mensajera,m ~e n . s a ' x e . 4 a ,mensajero,m e n . s a ' x e . 4 o ,mensajera,m e n . s a ' x e . 4 a ,mensajero,men.sa'xe.4o,mensajera,men.sa'xe.4a
1.95,mentira,9,mentira,mentira,mentira,NC,mentira,m ~e n_d ' t i . 4 a ,mentira,m ~e n_d ' t i . 4 a ,mentira,m e n ' t i . 4 a ,mentira,m e n ' t i . 4 a ,mentira,men'ti.4a,mentira,men'ti.4a
1.48,mentiras,3,mentiras,mentira,mentira,NC,mentira,m ~e n_d ' t i . 4 a ,mentiras,m ~e n_d ' t i . 4 a s ,mentira,m e n ' t i . 4 a ,mentiras,m e n ' t i . 4 a s ,mentira,men'ti.4a,mentiras,men'ti.4as
1.6,mentirijillas,4,mentirijillas,mentirijillas,mentirijillas,NC,mentirijillas,m ~e n_d . t i . 4 i ' x i . j\\ a s ,mentirijillas,m ~e n_d . t i . 4 i ' x i . j\\ a s ,mentirijillas,m e n . t i . 4 i ' x i . L a s ,mentirijillas,m e n . t i . 4 i ' x i . L a s ,mentirijillas,men.ti.4i'xi.Las,mentirijillas,men.ti.4i'xi.Las
1.3,mentiroso,2,mentiroso,mentiroso,mentiroso,AQ,mentiroso,m ~e n_d . t i ' 4 o . s o ,mentiroso,m ~e n_d . t i ' 4 o . s o ,mentiroso,m e n . t i ' 4 o . s o ,mentiroso,m e n . t i ' 4 o . s o ,mentiroso,men.ti'4o.so,mentiroso,men.ti'4o.so
1.3,menudo,2,menudo,menudo,menudo,AQ,menudo,m ~e ' n u . D_o o ,menudo,m ~e ' n u . D_o o ,menudo,m e ' n u . d o ,menudo,m e ' n u . d o ,menudo,me'nu.do,menudo,me'nu.do
1,mercadillo,1,mercadillo,mercadillo,mercadillo,NC,mercadillo,m e 4 . k a ' D_o i . j\\ o ,mercadillo,m e 4 . k a ' D_o i . j\\ o ,mercadillo,m e 4 . k a ' d i . L o ,mercadillo,m e 4 . k a ' d i . L o ,mercadillo,me4.ka'di.Lo,mercadillo,me4.ka'di.Lo
1,Merceditas,1,merceditas,merceditas,merceditas,NC,merceditas,m e 4 . T e ' D_o i . t a s ,Merceditas,m e 4 . T e ' D_o i . t a s ,merceditas,m e 4 . T e ' d i . t a s ,Merceditas,m e 4 . T e ' d i . t a s ,merceditas,me4.Te'di.tas,Merceditas,me4.Te'di.tas
1,mereces,1,mereces,merecer,merecer,VMI,merecer,m e . 4 e ' T e 4 ,mereces,m e ' 4 e . T e s ,merecer,m e . 4 e ' T e 4 ,mereces,m e ' 4 e . T e s ,merecer,me.4e'Te4,mereces,me'4e.Tes
1,merendado,1,merendado,merendar,merendar,VMP,merendar,m e . 4 e n_d ' d a 4 ,merendado,m e . 4 e n_d ' d a . D_o o ,merendar,m e . 4 e n ' d a 4 ,merendado,m e . 4 e n ' d a . d o ,merendar,me.4en'da4,merendado,me.4en'da.do
1,merendamos,1,merendamos,merendar,merendar,VMI,merendar,m e . 4 e n_d ' d a 4 ,merendamos,m e . 4 e n_d ' d a . m o s ,merendar,m e . 4 e n ' d a 4 ,merendamos,m e . 4 e n ' d a . m o s ,merendar,me.4en'da4,merendamos,me.4en'da.mos
2.18,merendar,15,merendar,merendar,merendar,VMN,merendar,m e . 4 e n_d ' d a 4 ,merendar,m e . 4 e n_d ' d a 4 ,merendar,m e . 4 e n ' d a 4 ,merendar,m e . 4 e n ' d a 4 ,merendar,me.4en'da4,merendar,me.4en'da4
1,merendola,1,merendola,merendola,merendola,NC,merendola,m e . 4 e n_d ' d o . l a ,merendola,m e . 4 e n_d ' d o . l a ,merendola,m e . 4 e n ' d o . l a ,merendola,m e . 4 e n ' d o . l a ,merendola,me.4en'do.la,merendola,me.4en'do.la
2.18,merienda,15,merienda,merienda,merienda,NC,merienda,m e ' 4 j e n_d . d a ,merienda,m e ' 4 j e n_d . d a ,merienda,m e ' 4 j e n . d a ,merienda,m e ' 4 j e n . d a ,merienda,me'4jen.da,merienda,me'4jen.da
1,meriendan,1,meriendan,merendar,merendar,VMI,merendar,m e . 4 e n_d ' d a 4 ,meriendan,m e ' 4 j e n_d . d a n ,merendar,m e . 4 e n ' d a 4 ,meriendan,m e ' 4 j e n . d a n ,merendar,me.4en'da4,meriendan,me'4jen.dan
1,meriendas,1,meriendas,merienda,merienda,NC,merienda,m e ' 4 j e n_d . d a ,meriendas,m e ' 4 j e n_d . d a s ,merienda,m e ' 4 j e n . d a ,meriendas,m e ' 4 j e n . d a s ,merienda,me'4jen.da,meriendas,me'4jen.das
1,mermelada,1,mermelada,mermelada,mermelada,NC,mermelada,m e 4 . m e ' l a . D_o a ,mermelada,m e 4 . m e ' l a . D_o a ,mermelada,m e 4 . m e ' l a . d a ,mermelada,m e 4 . m e ' l a . d a ,mermelada,me4.me'la.da,mermelada,me4.me'la.da
3.51,mesa,326,mesa,mesa,mesa,NC,mesa,' m e . s a ,mesa,' m e . s a ,mesa,' m e . s a ,mesa,' m e . s a ,mesa,'me.sa,mesa,'me.sa
2.23,mesas,17,mesas,mesa,mesa,NC,mesa,' m e . s a ,mesas,' m e . s a s ,mesa,' m e . s a ,mesas,' m e . s a s ,mesa,'me.sa,mesas,'me.sas
1.6,mesica,4,mesica,mesa,mesa,NC,mesa,' m e . s a ,mesica,m e ' s i . k a ,mesa,' m e . s a ,mesica,m e ' s i . k a ,mesa,'me.sa,mesica,me'si.ka
1,mesilla,1,mesilla,mesilla,mesilla,NC,mesilla,m e ' s i . j\\ a ,mesilla,m e ' s i . j\\ a ,mesilla,m e ' s i . L a ,mesilla,m e ' s i . L a ,mesilla,me'si.La,mesilla,me'si.La
2.52,mesita,33,mesita,mesita,mesita,NC,mesita,m e ' s i . t a ,mesita,m e ' s i . t a ,mesita,m e ' s i . t a ,mesita,m e ' s i . t a ,mesita,me'si.ta,mesita,me'si.ta
1.48,mesitas,3,mesitas,mesita,mesita,NC,mesita,m e ' s i . t a ,mesitas,m e ' s i . t a s ,mesita,m e ' s i . t a ,mesitas,m e ' s i . t a s ,mesita,me'si.ta,mesitas,me'si.tas
1.6,meta,4,meta,meta,meta,NC,meta,' m e . t a ,meta,' m e . t a ,meta,' m e . t a ,meta,' m e . t a ,meta,'me.ta,meta,'me.ta
1,metamos,1,metamos,meter,meter,VMS,meter,m e ' t e 4 ,metamos,m e ' t a . m o s ,meter,m e ' t e 4 ,metamos,m e ' t a . m o s ,meter,me'te4,metamos,me'ta.mos
1.3,metan,2,metan,meter,meter,VMS,meter,m e ' t e 4 ,metan,' m e . t a n ,meter,m e ' t e 4 ,metan,' m e . t a n ,meter,me'te4,metan,'me.tan
1,metas,1,metas,meta,meta,NC,meta,' m e . t a ,metas,' m e . t a s ,meta,' m e . t a ,metas,' m e . t a s ,meta,'me.ta,metas,'me.tas
3.11,mete,130,mete,meter,meter,VMI,meter,m e ' t e 4 ,mete,' m e . t e ,meter,m e ' t e 4 ,mete,' m e . t e ,meter,me'te4,mete,'me.te
1,métela,1,métela,meter+lo,meter,VMM+PP,meter,m e ' t e 4 ,métela,' m e . t e . l a ,meter,m e ' t e 4 ,métela,' m e . t e . l a ,meter,me'te4,métela,'me.te.la
1,mételes,1,mételes,meter+le,meter,VMM+PP,meter,m e ' t e 4 ,mételes,' m e . t e . l e s ,meter,m e ' t e 4 ,mételes,' m e . t e . l e s ,meter,me'te4,mételes,'me.te.les
1.78,mételo,6,mételo,meter+lo,meter,VMM+PP,meter,m e ' t e 4 ,mételo,' m e . t e . l o ,meter,m e ' t e 4 ,mételo,' m e . t e . l o ,meter,me'te4,mételo,'me.te.lo
1,mételos,1,mételos,meter+lo,meter,VMM+PP,meter,m e ' t e 4 ,mételos,' m e . t e . l o s ,meter,m e ' t e 4 ,mételos,' m e . t e . l o s ,meter,me'te4,mételos,'me.te.los
2.77,metemos,59,metemos,meter,meter,VMI,meter,m e ' t e 4 ,metemos,m e ' t e . m o s ,meter,m e ' t e 4 ,metemos,m e ' t e . m o s ,meter,me'te4,metemos,me'te.mos
2.53,meten,34,meten,meter,meter,VMI,meter,m e ' t e 4 ,meten,' m e . t e n ,meter,m e ' t e 4 ,meten,' m e . t e n ,meter,me'te4,meten,'me.ten
3.19,meter,155,meter,meter,meter,VMN,meter,m e ' t e 4 ,meter,m e ' t e 4 ,meter,m e ' t e 4 ,meter,m e ' t e 4 ,meter,me'te4,meter,me'te4
1,meteré,1,meteré,meter,meter,VMI,meter,m e ' t e 4 ,meteré,m e . t e ' 4 e ,meter,m e ' t e 4 ,meteré,m e . t e ' 4 e ,meter,me'te4,meteré,me.te'4e
1,meteremos,1,meteremos,meter,meter,VMI,meter,m e ' t e 4 ,meteremos,m e . t e ' 4 e . m o s ,meter,m e ' t e 4 ,meteremos,m e . t e ' 4 e . m o s ,meter,me'te4,meteremos,me.te'4e.mos
1.7,meterla,5,meterla,meter+lo,meter,VMN+PP,meter,m e ' t e 4 ,meterla,m e ' t e 4 l a ,meter,m e ' t e 4 ,meterla,m e ' t e 4 l a ,meter,me'te4,meterla,me'te4la
1.48,meterle,3,meterle,meter+le,meter,VMN+PP,meter,m e ' t e 4 ,meterle,m e ' t e 4 l e ,meter,m e ' t e 4 ,meterle,m e ' t e 4 l e ,meter,me'te4,meterle,me'te4le
1.9,meterlo,8,meterlo,meter+lo,meter,VMN+PP,meter,m e ' t e 4 ,meterlo,m e ' t e 4 l o ,meter,m e ' t e 4 ,meterlo,m e ' t e 4 l o ,meter,me'te4,meterlo,me'te4lo
1.85,meterlos,7,meterlos,meter+lo,meter,VMN+PP,meter,m e ' t e 4 ,meterlos,m e ' t e 4 l o s ,meter,m e ' t e 4 ,meterlos,m e ' t e 4 l o s ,meter,me'te4,meterlos,me'te4los
1.3,meterme,2,meterme,meter+me,meter,VMN+PP,meter,m e ' t e 4 ,meterme,m e ' t e 4 . m e ,meter,m e ' t e 4 ,meterme,m e ' t e 4 . m e ,meter,me'te4,meterme,me'te4.me
1.3,meterse,2,meterse,meter+se,meter,VMN+PP,meter,m e ' t e 4 ,meterse,m e ' t e 4 . s e ,meter,m e ' t e 4 ,meterse,m e ' t e 4 . s e ,meter,me'te4,meterse,me'te4.se
2.18,metes,15,metes,meter,meter,VMI,meter,m e ' t e 4 ,metes,' m e . t e s ,meter,m e ' t e 4 ,metes,' m e . t e s ,meter,me'te4,metes,'me.tes
1.9,métete,8,métete,meter+te,meter,VMM+PP,meter,m e ' t e 4 ,métete,' m e . t e . t e ,meter,m e ' t e 4 ,métete,' m e . t e . t e ,meter,me'te4,métete,'me.te.te
1.48,metía,3,metía,meter,meter,VMI,meter,m e ' t e 4 ,metía,m e ' t i a ,meter,m e ' t e 4 ,metía,m e ' t i a ,meter,me'te4,metía,me'tia
1.48,metíamos,3,metíamos,meter,meter,VMI,meter,m e ' t e 4 ,metíamos,m e ' t i a . m o s ,meter,m e ' t e 4 ,metíamos,m e ' t i a . m o s ,meter,me'te4,metíamos,me'tia.mos
1.6,metían,4,metían,meter,meter,VMI,meter,m e ' t e 4 ,metían,m e ' t i a n ,meter,m e ' t e 4 ,metían,m e ' t i a n ,meter,me'te4,metían,me'tian
1,metías,1,metías,meter,meter,VMI,meter,m e ' t e 4 ,metías,m e ' t i a s ,meter,m e ' t e 4 ,metías,m e ' t i a s ,meter,me'te4,metías,me'tias
1.78,metida,6,metida,meter,meter,VMP,meter,m e ' t e 4 ,metida,m e ' t i . D_o a ,meter,m e ' t e 4 ,metida,m e ' t i . d a ,meter,me'te4,metida,me'ti.da
1,metidico,1,metidico,metido,metido,NC,metido,m e ' t i . D_o o ,metidico,m e . t i ' D_o i . k o ,metido,m e ' t i . d o ,metidico,m e . t i ' d i . k o ,metido,me'ti.do,metidico,me.ti'di.ko
2.81,metido,65,metido,meter,meter,VMP,meter,m e ' t e 4 ,metido,m e ' t i . D_o o ,meter,m e ' t e 4 ,metido,m e ' t i . d o ,meter,me'te4,metido,me'ti.do
1.3,metiendo,2,metiendo,meter,meter,VMG,meter,m e ' t e 4 ,metiendo,m e ' t j e n_d . d o ,meter,m e ' t e 4 ,metiendo,m e ' t j e n . d o ,meter,me'te4,metiendo,me'tjen.do
1,metieron,1,metieron,meter,meter,VMI,meter,m e ' t e 4 ,metieron,m e ' t j e . 4 o n ,meter,m e ' t e 4 ,metieron,m e ' t j e . 4 o n ,meter,me'te4,metieron,me'tje.4on
1.9,metió,8,metió,meter,meter,VMI,meter,m e ' t e 4 ,metió,m e ' t j o ,meter,m e ' t e 4 ,metió,m e ' t j o ,meter,me'te4,metió,me'tjo
1.3,metiste,2,metiste,meter,meter,VMI,meter,m e ' t e 4 ,metiste,m e ' t i s . t e ,meter,m e ' t e 4 ,metiste,m e ' t i s . t e ,meter,me'te4,metiste,me'tis.te
2.7,meto,50,meto,meter,meter,VMI,meter,m e ' t e 4 ,meto,' m e . t o ,meter,m e ' t e 4 ,meto,' m e . t o ,meter,me'te4,meto,'me.to
1,mezcla,1,mezcla,mezcla,mezcla,NC,mezcla,' m e T . k l a ,mezcla,' m e T . k l a ,mezcla,' m e T . k l a ,mezcla,' m e T . k l a ,mezcla,'meT.kla,mezcla,'meT.kla
1,mezclar,1,mezclar,mezclar,mezclar,VMN,mezclar,m e T ' k l a 4 ,mezclar,m e T ' k l a 4 ,mezclar,m e T ' k l a 4 ,mezclar,m e T ' k l a 4 ,mezclar,meT'kla4,mezclar,meT'kla4
1,mezclarlos,1,mezclarlos,mezclar+lo,mezclar,VMN+PP,mezclar,m e T ' k l a 4 ,mezclarlos,m e T ' k l a 4 l o s ,mezclar,m e T ' k l a 4 ,mezclarlos,m e T ' k l a 4 l o s ,mezclar,meT'kla4,mezclarlos,meT'kla4los
3.51,mi,320,mi,mi,mi,DP,mi,m i ,mi,m i ,mi,' m i ,mi,' m i ,mi,'mi,mi,'mi
2.48,mí,30,mí,mí,mí,PP,mí,' m i ,mí,' m i ,mí,' m i ,mí,' m i ,mí,'mi,mí,'mi
2.82,mía,66,mía,mío,mío,AP,mío,' m i o ,mía,' m i a ,mío,' m i o ,mía,' m i a ,mío,'mio,mía,'mia
1.48,mías,3,mías,mía,mía,NC,mía,' m i a ,mías,' m i a s ,mía,' m i a ,mías,' m i a s ,mía,'mia,mías,'mias
1,miau,1,miau,miau,miau,NC,miau,' m j a u_^ ,miau,' m j a u_^ ,miau,' m j a u ,miau,' m j a u ,miau,'mjau,miau,'mjau
1.7,Micky,5,micky,micky,micky,NP,micky,m i ' k i ,Micky,m i ' k i ,micky,m i ' k i ,Micky,m i ' k i ,micky,mi'ki,Micky,mi'ki
1.48,micrófono,3,micrófono,micrófono,micrófono,NC,micrófono,m i ' k 4 o . f o . n o ,micrófono,m i ' k 4 o . f o . n o ,micrófono,m i ' k 4 o . f o . n o ,micrófono,m i ' k 4 o . f o . n o ,micrófono,mi'k4o.fo.no,micrófono,mi'k4o.fo.no
1,midiendo,1,midiendo,medir,medir,VMG,medir,m e ' D_o i 4 ,midiendo,m i ' D_o j e n_d . d o ,medir,m e ' d i 4 ,midiendo,m i ' d j e n . d o ,medir,me'di4,midiendo,mi'djen.do
2.3,miedo,20,miedo,miedo,miedo,NC,miedo,' m j e . D_o o ,miedo,' m j e . D_o o ,miedo,' m j e . d o ,miedo,' m j e . d o ,miedo,'mje.do,miedo,'mje.do
1.3,miel,2,miel,miel,miel,NC,miel,' m j e l ,miel,' m j e l ,miel,' m j e l ,miel,' m j e l ,miel,'mjel,miel,'mjel
1.78,mientras,6,mientras,mientras,mientras,CS,mientras,' m j e n_d . t 4 a s ,mientras,' m j e n_d . t 4 a s ,mientras,' m j e n . t 4 a s ,mientras,' m j e n . t 4 a s ,mientras,'mjen.t4as,mientras,'mjen.t4as
1,miércoles,1,miércoles,miércoles,miércoles,W,miércoles,' m j e 4 . k o . l e s ,miércoles,' m j e 4 . k o . l e s ,miércoles,' m j e 4 . k o . l e s ,miércoles,' m j e 4 . k o . l e s ,miércoles,'mje4.ko.les,miércoles,'mje4.ko.les
1.95,mierda,9,mierda,mierda,mierda,NC,mierda,' m j e 4 . D_o a ,mierda,' m j e 4 . D_o a ,mierda,' m j e 4 . d a ,mierda,' m j e 4 . d a ,mierda,'mje4.da,mierda,'mje4.da
1,Mieter,1,mieter,mieter,mieter,NP,mieter,m j e ' t e 4 ,Mieter,m j e ' t e 4 ,mieter,m j e ' t e 4 ,Mieter,m j e ' t e 4 ,mieter,mje'te4,Mieter,mje'te4
1.48,migas,3,migas,miga,miga,NC,miga,' m i . G_o a ,migas,' m i . G_o a s ,miga,' m i . g a ,migas,' m i . g a s ,miga,'mi.ga,migas,'mi.gas
2.36,Miguel,23,miguel,miguel,miguel,NC,miguel,m i ' G_o e l ,Miguel,m i ' G_o e l ,miguel,m i ' g e l ,Miguel,m i ' g e l ,miguel,mi'gel,Miguel,mi'gel
1,Miguelito,1,miguelito,miguel,miguel,NC,miguel,m i ' G_o e l ,Miguelito,m i . G_o e ' l i . t o ,miguel,m i ' g e l ,Miguelito,m i . g e ' l i . t o ,miguel,mi'gel,Miguelito,mi.ge'li.to
1,Miguelochi,1,miguelochi,miguelochi,miguelochi,NP,miguelochi,m i . G_o e ' l o . tS i ,Miguelochi,m i . G_o e ' l o . tS i ,miguelochi,m i . g e ' l o . C i ,Miguelochi,m i . g e ' l o . C i ,miguelochi,mi.ge'lo.Ci,Miguelochi,mi.ge'lo.Ci
1.48,miguitas,3,miguitas,miga,miga,NC,miga,' m i . G_o a ,miguitas,m i ' G_o i . t a s ,miga,' m i . g a ,miguitas,m i ' g i . t a s ,miga,'mi.ga,miguitas,mi'gi.tas
1,Mikael,1,mikael,mikael,mikael,NP,mikael,m i . k a ' e l ,Mikael,m i . k a ' e l ,mikael,m i . k a ' e l ,Mikael,m i . k a ' e l ,mikael,mi.ka'el,Mikael,mi.ka'el
2.04,Mikel,11,mikel,mikel,mikel,NP,mikel,m i ' k e l ,Mikel,m i ' k e l ,mikel,m i ' k e l ,Mikel,m i ' k e l ,mikel,mi'kel,Mikel,mi'kel
1,mil,1,mil,mil,mil,Z,mil,' m i l ,mil,' m i l ,mil,' m i l ,mil,' m i l ,mil,'mil,mil,'mil
1.3,militar,2,militar,militar,militar,AQ,militar,m i . l i ' t a 4 ,militar,m i . l i ' t a 4 ,militar,m i . l i ' t a 4 ,militar,m i . l i ' t a 4 ,militar,mi.li'ta4,militar,mi.li'ta4
1,Minnie,1,minnie,minnie,minnie,NP,minnie,' m ~i . n: . j e ,Minnie,' m ~i . n: . j e ,minnie,' m i . n: . j e ,Minnie,' m i . n: . j e ,minnie,'mi.n:.je,Minnie,'mi.n:.je
1,minúscula,1,minúscula,minúsculo,minúsculo,AQ,minúsculo,m ~i ' n u s . k u . l o ,minúscula,m ~i ' n u s . k u . l a ,minúsculo,m i ' n u s . k u . l o ,minúscula,m i ' n u s . k u . l a ,minúsculo,mi'nus.ku.lo,minúscula,mi'nus.ku.la
2.9,mío,80,mío,miar,miar,VMI,miar,' m j a 4 ,mío,' m i o ,miar,' m j a 4 ,mío,' m i o ,miar,'mja4,mío,'mio
2,míos,10,míos,mío,mío,AP,mío,' m i o ,míos,' m i o s ,mío,' m i o ,míos,' m i o s ,mío,'mio,míos,'mios
4.47,mira,2949,mira,mirar,mirar,VMM,mirar,m i ' 4 a 4 ,mira,' m i . 4 a ,mirar,m i ' 4 a 4 ,mira,' m i . 4 a ,mirar,mi'4a4,mira,'mi.4a
1.48,miraba,3,miraba,mirar,mirar,VMI,mirar,m i ' 4 a 4 ,miraba,m i ' 4 a . B_o a ,mirar,m i ' 4 a 4 ,miraba,m i ' 4 a . b a ,mirar,mi'4a4,miraba,mi'4a.ba
1.3,mirado,2,mirado,mirar,mirar,VMP,mirar,m i ' 4 a 4 ,mirado,m i ' 4 a . D_o o ,mirar,m i ' 4 a 4 ,mirado,m i ' 4 a . d o ,mirar,mi'4a4,mirado,mi'4a.do
1.7,mírala,5,mírala,mirar+lo,mirar,VMM+PP,mirar,m i ' 4 a 4 ,mírala,' m i . 4 a . l a ,mirar,m i ' 4 a 4 ,mírala,' m i . 4 a . l a ,mirar,mi'4a4,mírala,'mi.4a.la
