5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.3,Fernando,2,fernando,fernando,fernando,NP,fernando,f e 4 ' n ~a n_d . d o ,Fernando,f e 4 ' n ~a n_d . d o ,fernando,f e 4 ' n a n . d o ,Fernando,f e 4 ' n a n . d o ,fernando,fe4'nan.do,Fernando,fe4'nan.do
1.6,feroz,4,feroz,feroz,feroz,AQ,feroz,f e ' 4 o T ,feroz,f e ' 4 o T ,feroz,f e ' 4 o T ,feroz,f e ' 4 o T ,feroz,fe'4oT,feroz,fe'4oT
1,festín,1,festín,festín,festín,NC,festín,f e s ' t i n ,festín,f e s ' t i n ,festín,f e s ' t i n ,festín,f e s ' t i n ,festín,fes'tin,festín,fes'tin
1,festival,1,festival,festival,festival,NC,festival,f e s . t i ' B_o a l ,festival,f e s . t i ' B_o a l ,festival,f e s . t i ' b a l ,festival,f e s . t i ' b a l ,festival,fes.ti'bal,festival,fes.ti'bal
1,fiambreras,1,fiambreras,fiambrera,fiambrera,NC,fiambrera,f j a m ' b 4 e . 4 a ,fiambreras,f j a m ' b 4 e . 4 a s ,fiambrera,f j a m ' b 4 e . 4 a ,fiambreras,f j a m ' b 4 e . 4 a s ,fiambrera,fjam'b4e.4a,fiambreras,fjam'b4e.4as
1.3,ficha,2,ficha,ficha,ficha,NC,ficha,' f i . tS a ,ficha,' f i . tS a ,ficha,' f i . C a ,ficha,' f i . C a ,ficha,'fi.Ca,ficha,'fi.Ca
2.36,fichas,23,fichas,ficha,ficha,NC,ficha,' f i . tS a ,fichas,' f i . tS a s ,ficha,' f i . C a ,fichas,' f i . C a s ,ficha,'fi.Ca,fichas,'fi.Cas
2.68,fiesta,48,fiesta,fiesta,fiesta,NC,fiesta,' f j e s . t a ,fiesta,' f j e s . t a ,fiesta,' f j e s . t a ,fiesta,' f j e s . t a ,fiesta,'fjes.ta,fiesta,'fjes.ta
1.3,fiestas,2,fiestas,fiesta,fiesta,NC,fiesta,' f j e s . t a ,fiestas,' f j e s . t a s ,fiesta,' f j e s . t a ,fiestas,' f j e s . t a s ,fiesta,'fjes.ta,fiestas,'fjes.tas
1,fijación,1,fijación,fijación,fijación,NC,fijación,f i . x a ' T j o n ,fijación,f i . x a ' T j o n ,fijación,f i . x a ' T j o n ,fijación,f i . x a ' T j o n ,fijación,fi.xa'Tjon,fijación,fi.xa'Tjon
2.23,fijado,17,fijado,fijar,fijar,VMP,fijar,f i ' x a 4 ,fijado,f i ' x a . D_o o ,fijar,f i ' x a 4 ,fijado,f i ' x a . d o ,fijar,fi'xa4,fijado,fi'xa.do
1.3,fijaos,2,fijaos,fijar+os,fijar,VMM+PP,fijar,f i ' x a 4 ,fijaos,f i ' x a . o s ,fijar,f i ' x a 4 ,fijaos,f i ' x a . o s ,fijar,fi'xa4,fijaos,fi'xa.os
1,fijar,1,fijar,fijar,fijar,VMN,fijar,f i ' x a 4 ,fijar,f i ' x a 4 ,fijar,f i ' x a 4 ,fijar,f i ' x a 4 ,fijar,fi'xa4,fijar,fi'xa4
1,fijas,1,fijas,fijo,fijo,AQ,fijo,' f i . x o ,fijas,' f i . x a s ,fijo,' f i . x o ,fijas,' f i . x a s ,fijo,'fi.xo,fijas,'fi.xas
1,fijaste,1,fijaste,fijar,fijar,VMI,fijar,f i ' x a 4 ,fijaste,f i ' x a s . t e ,fijar,f i ' x a 4 ,fijaste,f i ' x a s . t e ,fijar,fi'xa4,fijaste,fi'xas.te
2.74,fíjate,55,fíjate,fijar+te,fijar,VMM+PP,fijar,f i ' x a 4 ,fíjate,' f i . x a . t e ,fijar,f i ' x a 4 ,fíjate,' f i . x a . t e ,fijar,fi'xa4,fíjate,'fi.xa.te
1,fijo,1,fijo,fijo,fijo,AQ,fijo,' f i . x o ,fijo,' f i . x o ,fijo,' f i . x o ,fijo,' f i . x o ,fijo,'fi.xo,fijo,'fi.xo
1,fijos,1,fijos,fijo,fijo,AQ,fijo,' f i . x o ,fijos,' f i . x o s ,fijo,' f i . x o ,fijos,' f i . x o s ,fijo,'fi.xo,fijos,'fi.xos
3.04,fila,110,fila,fila,fila,NC,fila,' f i . l a ,fila,' f i . l a ,fila,' f i . l a ,fila,' f i . l a ,fila,'fi.la,fila,'fi.la
1,filete,1,filete,filete,filete,NC,filete,f i ' l e . t e ,filete,f i ' l e . t e ,filete,f i ' l e . t e ,filete,f i ' l e . t e ,filete,fi'le.te,filete,fi'le.te
1.95,fin,9,fin,fin,fin,NC,fin,' f i n ,fin,' f i n ,fin,' f i n ,fin,' f i n ,fin,'fin,fin,'fin
2.41,final,26,final,final,final,NC,final,f i ' n a l ,final,f i ' n a l ,final,f i ' n a l ,final,f i ' n a l ,final,fi'nal,final,fi'nal
1,finito,1,finito,finito,finito,AQ,finito,f i ' n i . t o ,finito,f i ' n i . t o ,finito,f i ' n i . t o ,finito,f i ' n i . t o ,finito,fi'ni.to,finito,fi'ni.to
1.3,flaca,2,flaca,flaco,flaco,AQ,flaco,' f l a . k o ,flaca,' f l a . k a ,flaco,' f l a . k o ,flaca,' f l a . k a ,flaco,'fla.ko,flaca,'fla.ka
2.54,flauta,35,flauta,flauta,flauta,NC,flauta,' f l a u_^ . t a ,flauta,' f l a u_^ . t a ,flauta,' f l a u . t a ,flauta,' f l a u . t a ,flauta,'flau.ta,flauta,'flau.ta
1.78,Flavia,6,flavia,flavia,flavia,NP,flavia,' f l a . B_o j a ,Flavia,' f l a . B_o j a ,flavia,' f l a . b j a ,Flavia,' f l a . b j a ,flavia,'fla.bja,Flavia,'fla.bja
1,flequillo,1,flequillo,flequillo,flequillo,NC,flequillo,f l e ' k i . j\\ o ,flequillo,f l e ' k i . j\\ o ,flequillo,f l e ' k i . L o ,flequillo,f l e ' k i . L o ,flequillo,fle'ki.Lo,flequillo,fle'ki.Lo
1.3,flor,2,flor,flor,flor,NC,flor,' f l o 4 ,flor,' f l o 4 ,flor,' f l o 4 ,flor,' f l o 4 ,flor,'flo4,flor,'flo4
1,florecitas,1,florecitas,flor,flor,NC,flor,' f l o 4 ,florecitas,f l o . 4 e ' T i . t a s ,flor,' f l o 4 ,florecitas,f l o . 4 e ' T i . t a s ,flor,'flo4,florecitas,flo.4e'Ti.tas
2.36,flores,23,flores,flor,flor,NC,flor,' f l o 4 ,flores,' f l o . 4 e s ,flor,' f l o 4 ,flores,' f l o . 4 e s ,flor,'flo4,flores,'flo.4es
1.3,flotador,2,flotador,flotador,flotador,NC,flotador,f l o . t a ' D_o o 4 ,flotador,f l o . t a ' D_o o 4 ,flotador,f l o . t a ' d o 4 ,flotador,f l o . t a ' d o 4 ,flotador,flo.ta'do4,flotador,flo.ta'do4
1,flotadores,1,flotadores,flotador,flotador,NC,flotador,f l o . t a ' D_o o 4 ,flotadores,f l o . t a ' D_o o . 4 e s ,flotador,f l o . t a ' d o 4 ,flotadores,f l o . t a ' d o . 4 e s ,flotador,flo.ta'do4,flotadores,flo.ta'do.4es
1,flotan,1,flotan,flotar,flotar,VMI,flotar,f l o ' t a 4 ,flotan,' f l o . t a n ,flotar,f l o ' t a 4 ,flotan,' f l o . t a n ,flotar,flo'ta4,flotan,'flo.tan
1.85,fogón,7,fogón,fogón,fogón,NC,fogón,f o ' G_o o n ,fogón,f o ' G_o o n ,fogón,f o ' g o n ,fogón,f o ' g o n ,fogón,fo'gon,fogón,fo'gon
1,fogoncito,1,fogoncito,fogón,fogón,NC,fogón,f o ' G_o o n ,fogoncito,f o . G_o o n_d_+ ' T i . t o ,fogón,f o ' g o n ,fogoncito,f o . g o n ' T i . t o ,fogón,fo'gon,fogoncito,fo.gon'Ti.to
1,fogones,1,fogones,fogón,fogón,NC,fogón,f o ' G_o o n ,fogones,f o ' G_o o . n e s ,fogón,f o ' g o n ,fogones,f o ' g o . n e s ,fogón,fo'gon,fogones,fo'go.nes
1,follón,1,follón,follón,follón,NC,follón,f o ' j\\ o n ,follón,f o ' j\\ o n ,follón,f o ' L o n ,follón,f o ' L o n ,follón,fo'Lon,follón,fo'Lon
2.18,fondo,15,fondo,fondo,fondo,NC,fondo,' f o n_d . d o ,fondo,' f o n_d . d o ,fondo,' f o n . d o ,fondo,' f o n . d o ,fondo,'fon.do,fondo,'fon.do
1,footing,1,footing,footing,footing,NC,footing,f o . o ' t i n_g G ,footing,f o . o ' t i n_g G ,footing,f o . o ' t i n G ,footing,f o . o ' t i n G ,footing,fo.o'tinG,footing,fo.o'tinG
1.3,forma,2,forma,forma,forma,NC,forma,' f o 4 . m a ,forma,' f o 4 . m a ,forma,' f o 4 . m a ,forma,' f o 4 . m a ,forma,'fo4.ma,forma,'fo4.ma
1,formado,1,formado,formar,formar,VMP,formar,f o 4 ' m a 4 ,formado,f o 4 ' m a . D_o o ,formar,f o 4 ' m a 4 ,formado,f o 4 ' m a . d o ,formar,fo4'ma4,formado,fo4'ma.do
1.6,formal,4,formal,formal,formal,AQ,formal,f o 4 ' m a l ,formal,f o 4 ' m a l ,formal,f o 4 ' m a l ,formal,f o 4 ' m a l ,formal,fo4'mal,formal,fo4'mal
1.48,formales,3,formales,formal,formal,AQ,formal,f o 4 ' m a l ,formales,f o 4 ' m a . l e s ,formal,f o 4 ' m a l ,formales,f o 4 ' m a . l e s ,formal,fo4'mal,formales,fo4'ma.les
1,formas,1,formas,forma,forma,NC,forma,' f o 4 . m a ,formas,' f o 4 . m a s ,forma,' f o 4 . m a ,formas,' f o 4 . m a s ,forma,'fo4.ma,formas,'fo4.mas
1,forzar,1,forzar,forzar,forzar,VMN,forzar,f o 4 ' T a 4 ,forzar,f o 4 ' T a 4 ,forzar,f o 4 ' T a 4 ,forzar,f o 4 ' T a 4 ,forzar,fo4'Ta4,forzar,fo4'Ta4
2.48,foto,30,foto,foto,foto,NC,foto,' f o . t o ,foto,' f o . t o ,foto,' f o . t o ,foto,' f o . t o ,foto,'fo.to,foto,'fo.to
1,fotografía,1,fotografía,fotografía,fotografía,NC,fotografía,f o . t o . G_o 4 a ' f i a ,fotografía,f o . t o . G_o 4 a ' f i a ,fotografía,f o . t o . g 4 a ' f i a ,fotografía,f o . t o . g 4 a ' f i a ,fotografía,fo.to.g4a'fia,fotografía,fo.to.g4a'fia
1,fotografías,1,fotografías,fotografía,fotografía,NC,fotografía,f o . t o . G_o 4 a ' f i a ,fotografías,f o . t o . G_o 4 a ' f i a s ,fotografía,f o . t o . g 4 a ' f i a ,fotografías,f o . t o . g 4 a ' f i a s ,fotografía,fo.to.g4a'fia,fotografías,fo.to.g4a'fias
2.28,fotos,19,fotos,foto,foto,NC,foto,' f o . t o ,fotos,' f o . t o s ,foto,' f o . t o ,fotos,' f o . t o s ,foto,'fo.to,fotos,'fo.tos
1,Franca,1,franca,franco,franco,AQ,franco,' f 4 a n_g . k o ,Franca,' f 4 a n_g . k a ,franco,' f 4 a n . k o ,Franca,' f 4 a n . k a ,franco,'f4an.ko,Franca,'f4an.ka
1,frascos,1,frascos,frasco,frasco,NC,frasco,' f 4 a s . k o ,frascos,' f 4 a s . k o s ,frasco,' f 4 a s . k o ,frascos,' f 4 a s . k o s ,frasco,'f4as.ko,frascos,'f4as.kos
1,fregadera,1,fregadera,fregadera,fregadera,NC,fregadera,f 4 e . G_o a ' D_o e . 4 a ,fregadera,f 4 e . G_o a ' D_o e . 4 a ,fregadera,f 4 e . g a ' d e . 4 a ,fregadera,f 4 e . g a ' d e . 4 a ,fregadera,f4e.ga'de.4a,fregadera,f4e.ga'de.4a
1,fregado,1,fregado,fregar,fregar,VMP,fregar,f 4 e ' G_o a 4 ,fregado,f 4 e ' G_o a . D_o o ,fregar,f 4 e ' g a 4 ,fregado,f 4 e ' g a . d o ,fregar,f4e'ga4,fregado,f4e'ga.do
1.48,fregar,3,fregar,fregar,fregar,VMN,fregar,f 4 e ' G_o a 4 ,fregar,f 4 e ' G_o a 4 ,fregar,f 4 e ' g a 4 ,fregar,f 4 e ' g a 4 ,fregar,f4e'ga4,fregar,f4e'ga4
1,frenado,1,frenado,frenar,frenar,VMP,frenar,f 4 e ' n a 4 ,frenado,f 4 e ' n a . D_o o ,frenar,f 4 e ' n a 4 ,frenado,f 4 e ' n a . d o ,frenar,f4e'na4,frenado,f4e'na.do
1.9,frenar,8,frenar,frenar,frenar,VMN,frenar,f 4 e ' n a 4 ,frenar,f 4 e ' n a 4 ,frenar,f 4 e ' n a 4 ,frenar,f 4 e ' n a 4 ,frenar,f4e'na4,frenar,f4e'na4
1,frene,1,frene,frenar,frenar,VMS,frenar,f 4 e ' n a 4 ,frene,' f 4 e . n e ,frenar,f 4 e ' n a 4 ,frene,' f 4 e . n e ,frenar,f4e'na4,frene,'f4e.ne
1,freno,1,freno,freno,freno,NC,freno,' f 4 e . n o ,freno,' f 4 e . n o ,freno,' f 4 e . n o ,freno,' f 4 e . n o ,freno,'f4e.no,freno,'f4e.no
1,frenos,1,frenos,freno,freno,NC,freno,' f 4 e . n o ,frenos,' f 4 e . n o s ,freno,' f 4 e . n o ,frenos,' f 4 e . n o s ,freno,'f4e.no,frenos,'f4e.nos
1,frente,1,frente,frente,frente,RG,frente,' f 4 e n_d . t e ,frente,' f 4 e n_d . t e ,frente,' f 4 e n . t e ,frente,' f 4 e n . t e ,frente,'f4en.te,frente,'f4en.te
2.2,fresa,16,fresa,fresa,fresa,NC,fresa,' f 4 e . s a ,fresa,' f 4 e . s a ,fresa,' f 4 e . s a ,fresa,' f 4 e . s a ,fresa,'f4e.sa,fresa,'f4e.sa
1.85,fresas,7,fresas,fresa,fresa,NC,fresa,' f 4 e . s a ,fresas,' f 4 e . s a s ,fresa,' f 4 e . s a ,fresas,' f 4 e . s a s ,fresa,'f4e.sa,fresas,'f4e.sas
1,fresca,1,fresca,fresco,fresco,AQ,fresco,' f 4 e s . k o ,fresca,' f 4 e s . k a ,fresco,' f 4 e s . k o ,fresca,' f 4 e s . k a ,fresco,'f4es.ko,fresca,'f4es.ka
1,fresquito,1,fresquito,fresco,fresco,AQ,fresco,' f 4 e s . k o ,fresquito,f 4 e s ' k i . t o ,fresco,' f 4 e s . k o ,fresquito,f 4 e s ' k i . t o ,fresco,'f4es.ko,fresquito,f4es'ki.to
1.78,fría,6,fría,frío,frío,AQ,frío,' f 4 i o ,fría,' f 4 i a ,frío,' f 4 i o ,fría,' f 4 i a ,frío,'f4io,fría,'f4ia
1,frías,1,frías,frío,frío,AQ,frío,' f 4 i o ,frías,' f 4 i a s ,frío,' f 4 i o ,frías,' f 4 i a s ,frío,'f4io,frías,'f4ias
1,friega,1,friega,friega,friega,NC,friega,' f 4 j e . G_o a ,friega,' f 4 j e . G_o a ,friega,' f 4 j e . g a ,friega,' f 4 j e . g a ,friega,'f4je.ga,friega,'f4je.ga
1.48,frigorífico,3,frigorífico,frigorífico,frigorífico,AQ,frigorífico,f 4 i . G_o o ' 4 i . f i . k o ,frigorífico,f 4 i . G_o o ' 4 i . f i . k o ,frigorífico,f 4 i . g o ' 4 i . f i . k o ,frigorífico,f 4 i . g o ' 4 i . f i . k o ,frigorífico,f4i.go'4i.fi.ko,frigorífico,f4i.go'4i.fi.ko
3.12,frío,131,frío,frío,frío,NC,frío,' f 4 i o ,frío,' f 4 i o ,frío,' f 4 i o ,frío,' f 4 i o ,frío,'f4io,frío,'f4io
1.78,fritas,6,fritas,frita,frita,NC,frita,' f 4 i . t a ,fritas,' f 4 i . t a s ,frita,' f 4 i . t a ,fritas,' f 4 i . t a s ,frita,'f4i.ta,fritas,'f4i.tas
1.3,frito,2,frito,freír,freír,VMP,freír,' f 4 e i 4 ,frito,' f 4 i . t o ,freír,' f 4 e i 4 ,frito,' f 4 i . t o ,freír,'f4ei4,frito,'f4i.to
1.95,fruta,9,fruta,fruto,fruto,NC,fruto,' f 4 u . t o ,fruta,' f 4 u . t a ,fruto,' f 4 u . t o ,fruta,' f 4 u . t a ,fruto,'f4u.to,fruta,'f4u.ta
1,frutas,1,frutas,fruto,fruto,NC,fruto,' f 4 u . t o ,frutas,' f 4 u . t a s ,fruto,' f 4 u . t o ,frutas,' f 4 u . t a s ,fruto,'f4u.to,frutas,'f4u.tas
2.28,fue,19,fue,ser,ser,VSI,ser,' s e 4 ,fue,' f w e ,ser,' s e 4 ,fue,' f w e ,ser,'se4,fue,'fwe
2.91,fuego,81,fuego,fuego,fuego,NC,fuego,' f w e . G_o o ,fuego,' f w e . G_o o ,fuego,' f w e . g o ,fuego,' f w e . g o ,fuego,'fwe.go,fuego,'fwe.go
1,fuegos,1,fuegos,fuego,fuego,NC,fuego,' f w e . G_o o ,fuegos,' f w e . G_o o s ,fuego,' f w e . g o ,fuegos,' f w e . g o s ,fuego,'fwe.go,fuegos,'fwe.gos
1.78,fuente,6,fuente,fuente,fuente,NC,fuente,' f w e n_d . t e ,fuente,' f w e n_d . t e ,fuente,' f w e n . t e ,fuente,' f w e n . t e ,fuente,'fwen.te,fuente,'fwen.te
3.07,fuera,117,fuera,fuera,fuera,RG,fuera,' f w e . 4 a ,fuera,' f w e . 4 a ,fuera,' f w e . 4 a ,fuera,' f w e . 4 a ,fuera,'fwe.4a,fuera,'fwe.4a
1,fueran,1,fueran,ser,ser,VSS,ser,' s e 4 ,fueran,' f w e . 4 a n ,ser,' s e 4 ,fueran,' f w e . 4 a n ,ser,'se4,fueran,'fwe.4an
1.48,fueron,3,fueron,ser,ser,VSI,ser,' s e 4 ,fueron,' f w e . 4 o n ,ser,' s e 4 ,fueron,' f w e . 4 o n ,ser,'se4,fueron,'fwe.4on
2.92,fuerte,83,fuerte,fuerte,fuerte,AQ,fuerte,' f w e 4 . t e ,fuerte,' f w e 4 . t e ,fuerte,' f w e 4 . t e ,fuerte,' f w e 4 . t e ,fuerte,'fwe4.te,fuerte,'fwe4.te
1.3,fuertes,2,fuertes,fuerte,fuerte,AQ,fuerte,' f w e 4 . t e ,fuertes,' f w e 4 . t e s ,fuerte,' f w e 4 . t e ,fuertes,' f w e 4 . t e s ,fuerte,'fwe4.te,fuertes,'fwe4.tes
1.6,fuerza,4,fuerza,fuerza,fuerza,NC,fuerza,' f w e 4 . T a ,fuerza,' f w e 4 . T a ,fuerza,' f w e 4 . T a ,fuerza,' f w e 4 . T a ,fuerza,'fwe4.Ta,fuerza,'fwe4.Ta
1.3,fuerzas,2,fuerzas,fuerza,fuerza,NC,fuerza,' f w e 4 . T a ,fuerzas,' f w e 4 . T a s ,fuerza,' f w e 4 . T a ,fuerzas,' f w e 4 . T a s ,fuerza,'fwe4.Ta,fuerzas,'fwe4.Tas
1,fuese,1,fuese,ser,ser,VSS,ser,' s e 4 ,fuese,' f w e . s e ,ser,' s e 4 ,fuese,' f w e . s e ,ser,'se4,fuese,'fwe.se
1.85,fuimos,7,fuimos,ir,ir,VMI,ir,' i 4 ,fuimos,' f w i . m o s ,ir,' i 4 ,fuimos,' f w i . m o s ,ir,'i4,fuimos,'fwi.mos
1.78,fuiste,6,fuiste,ser,ser,VSI,ser,' s e 4 ,fuiste,' f w i s . t e ,ser,' s e 4 ,fuiste,' f w i s . t e ,ser,'se4,fuiste,'fwis.te
1.9,fuma,8,fuma,fumar,fumar,VMI,fumar,f u ' m a 4 ,fuma,' f u . m a ,fumar,f u ' m a 4 ,fuma,' f u . m a ,fumar,fu'ma4,fuma,'fu.ma
1.48,fumando,3,fumando,fumar,fumar,VMG,fumar,f u ' m a 4 ,fumando,f u ' m ~a n_d . d o ,fumar,f u ' m a 4 ,fumando,f u ' m a n . d o ,fumar,fu'ma4,fumando,fu'man.do
1.3,fumar,2,fumar,fumar,fumar,VMN,fumar,f u ' m a 4 ,fumar,f u ' m a 4 ,fumar,f u ' m a 4 ,fumar,f u ' m a 4 ,fumar,fu'ma4,fumar,fu'ma4
1.7,funciona,5,funciona,funcionar,funcionar,VMI,funcionar,f u n_d_+ . T j o ' n a 4 ,funciona,f u n_d_+ ' T j o . n a ,funcionar,f u n . T j o ' n a 4 ,funciona,f u n ' T j o . n a ,funcionar,fun.Tjo'na4,funciona,fun'Tjo.na
1,funcionaba,1,funcionaba,funcionar,funcionar,VMI,funcionar,f u n_d_+ . T j o ' n a 4 ,funcionaba,f u n_d_+ . T j o ' n a . B_o a ,funcionar,f u n . T j o ' n a 4 ,funcionaba,f u n . T j o ' n a . b a ,funcionar,fun.Tjo'na4,funcionaba,fun.Tjo'na.ba
1,funcionar,1,funcionar,funcionar,funcionar,VMN,funcionar,f u n_d_+ . T j o ' n a 4 ,funcionar,f u n_d_+ . T j o ' n a 4 ,funcionar,f u n . T j o ' n a 4 ,funcionar,f u n . T j o ' n a 4 ,funcionar,fun.Tjo'na4,funcionar,fun.Tjo'na4
1.3,fundamento,2,fundamento,fundamento,fundamento,NC,fundamento,f u n_d . d a ' m ~e n_d . t o ,fundamento,f u n_d . d a ' m ~e n_d . t o ,fundamento,f u n . d a ' m e n . t o ,fundamento,f u n . d a ' m e n . t o ,fundamento,fun.da'men.to,fundamento,fun.da'men.to
1.3,futbito,2,futbito,futbito,futbito,NC,futbito,f u d ' B_o i . t o ,futbito,f u d ' B_o i . t o ,futbito,f u d ' b i . t o ,futbito,f u d ' b i . t o ,futbito,fud'bi.to,futbito,fud'bi.to
2.65,fútbol,45,fútbol,fútbol,fútbol,NC,fútbol,' f u d . B_o o l ,fútbol,' f u d . B_o o l ,fútbol,' f u d . b o l ,fútbol,' f u d . b o l ,fútbol,'fud.bol,fútbol,'fud.bol
1.6,gafas,4,gafas,gafas,gafas,NC,gafas,' g a . f a s ,gafas,' g a . f a s ,gafas,' g a . f a s ,gafas,' g a . f a s ,gafas,'ga.fas,gafas,'ga.fas
1.3,gafitas,2,gafitas,gafo,gafo,AQ,gafo,' g a . f o ,gafitas,g a ' f i . t a s ,gafo,' g a . f o ,gafitas,g a ' f i . t a s ,gafo,'ga.fo,gafitas,ga'fi.tas
1.3,Gallego,2,gallego,gallego,gallego,AQ,gallego,g a ' j\\ e . G_o o ,Gallego,g a ' j\\ e . G_o o ,gallego,g a ' L e . g o ,Gallego,g a ' L e . g o ,gallego,ga'Le.go,Gallego,ga'Le.go
1.9,galleta,8,galleta,galleta,galleta,NC,galleta,g a ' j\\ e . t a ,galleta,g a ' j\\ e . t a ,galleta,g a ' L e . t a ,galleta,g a ' L e . t a ,galleta,ga'Le.ta,galleta,ga'Le.ta
2.18,galletas,15,galletas,galleta,galleta,NC,galleta,g a ' j\\ e . t a ,galletas,g a ' j\\ e . t a s ,galleta,g a ' L e . t a ,galletas,g a ' L e . t a s ,galleta,ga'Le.ta,galletas,ga'Le.tas
1.6,gallina,4,gallina,gallina,gallina,NC,gallina,g a ' j\\ i . n a ,gallina,g a ' j\\ i . n a ,gallina,g a ' L i . n a ,gallina,g a ' L i . n a ,gallina,ga'Li.na,gallina,ga'Li.na
1,gallinas,1,gallinas,gallina,gallina,NC,gallina,g a ' j\\ i . n a ,gallinas,g a ' j\\ i . n a s ,gallina,g a ' L i . n a ,gallinas,g a ' L i . n a s ,gallina,ga'Li.na,gallinas,ga'Li.nas
1.78,gallo,6,gallo,gallo,gallo,NC,gallo,' g a . j\\ o ,gallo,' g a . j\\ o ,gallo,' g a . L o ,gallo,' g a . L o ,gallo,'ga.Lo,gallo,'ga.Lo
1.48,gamberra,3,gamberra,gamberro,gamberro,NC,gamberro,g a m ' b e . r o ,gamberra,g a m ' b e . r a ,gamberro,g a m ' b e . r o ,gamberra,g a m ' b e . r a ,gamberro,gam'be.ro,gamberra,gam'be.ra
1.3,gamberrete,2,gamberrete,gamberro,gamberro,AQ,gamberro,g a m ' b e . r o ,gamberrete,g a m . b e ' r e . t e ,gamberro,g a m ' b e . r o ,gamberrete,g a m . b e ' r e . t e ,gamberro,gam'be.ro,gamberrete,gam.be're.te
1.3,gamberretes,2,gamberretes,gamberro,gamberro,AQ,gamberro,g a m ' b e . r o ,gamberretes,g a m . b e ' r e . t e s ,gamberro,g a m ' b e . r o ,gamberretes,g a m . b e ' r e . t e s ,gamberro,gam'be.ro,gamberretes,gam.be're.tes
1.78,gamberro,6,gamberro,gamberro,gamberro,NC,gamberro,g a m ' b e . r o ,gamberro,g a m ' b e . r o ,gamberro,g a m ' b e . r o ,gamberro,g a m ' b e . r o ,gamberro,gam'be.ro,gamberro,gam'be.ro
1,gamberros,1,gamberros,gamberro,gamberro,NC,gamberro,g a m ' b e . r o ,gamberros,g a m ' b e . r o s ,gamberro,g a m ' b e . r o ,gamberros,g a m ' b e . r o s ,gamberro,gam'be.ro,gamberros,gam'be.ros
2,gana,10,gana,ganar,ganar,VMI,ganar,g a ' n a 4 ,gana,' g a . n a ,ganar,g a ' n a 4 ,gana,' g a . n a ,ganar,ga'na4,gana,'ga.na
1,ganaba,1,ganaba,ganar,ganar,VMI,ganar,g a ' n a 4 ,ganaba,g a ' n a . B_o a ,ganar,g a ' n a 4 ,ganaba,g a ' n a . b a ,ganar,ga'na4,ganaba,ga'na.ba
1,ganaderos,1,ganaderos,ganadero,ganadero,AQ,ganadero,g a . n a ' D_o e . 4 o ,ganaderos,g a . n a ' D_o e . 4 o s ,ganadero,g a . n a ' d e . 4 o ,ganaderos,g a . n a ' d e . 4 o s ,ganadero,ga.na'de.4o,ganaderos,ga.na'de.4os
2,ganado,10,ganado,ganar,ganar,VMP,ganar,g a ' n a 4 ,ganado,g a ' n a . D_o o ,ganar,g a ' n a 4 ,ganado,g a ' n a . d o ,ganar,ga'na4,ganado,ga'na.do
1.3,ganan,2,ganan,ganar,ganar,VMI,ganar,g a ' n a 4 ,ganan,' g a . n ~a n ,ganar,g a ' n a 4 ,ganan,' g a . n a n ,ganar,ga'na4,ganan,'ga.nan
1.3,ganando,2,ganando,ganar,ganar,VMG,ganar,g a ' n a 4 ,ganando,g a ' n ~a n_d . d o ,ganar,g a ' n a 4 ,ganando,g a ' n a n . d o ,ganar,ga'na4,ganando,ga'nan.do
1.6,ganar,4,ganar,ganar,ganar,VMN,ganar,g a ' n a 4 ,ganar,g a ' n a 4 ,ganar,g a ' n a 4 ,ganar,g a ' n a 4 ,ganar,ga'na4,ganar,ga'na4
2.04,ganas,11,ganas,gana,gana,NC,gana,' g a . n a ,ganas,' g a . n a s ,gana,' g a . n a ,ganas,' g a . n a s ,gana,'ga.na,ganas,'ga.nas
1.3,ganaste,2,ganaste,ganar,ganar,VMI,ganar,g a ' n a 4 ,ganaste,g a ' n a s . t e ,ganar,g a ' n a 4 ,ganaste,g a ' n a s . t e ,ganar,ga'na4,ganaste,ga'nas.te
1,gané,1,gané,ganar,ganar,VMI,ganar,g a ' n a 4 ,gané,g a ' n e ,ganar,g a ' n a 4 ,gané,g a ' n e ,ganar,ga'na4,gané,ga'ne
1,gano,1,gano,ganar,ganar,VMI,ganar,g a ' n a 4 ,gano,' g a . n o ,ganar,g a ' n a 4 ,gano,' g a . n o ,ganar,ga'na4,gano,'ga.no
3.6,garaje,401,garaje,garaje,garaje,NC,garaje,g a ' 4 a . x e ,garaje,g a ' 4 a . x e ,garaje,g a ' 4 a . x e ,garaje,g a ' 4 a . x e ,garaje,ga'4a.xe,garaje,ga'4a.xe
1.3,garajes,2,garajes,garaje,garaje,NC,garaje,g a ' 4 a . x e ,garajes,g a ' 4 a . x e s ,garaje,g a ' 4 a . x e ,garajes,g a ' 4 a . x e s ,garaje,ga'4a.xe,garajes,ga'4a.xes
1.6,Garasi,4,garasi,garasi,garasi,NP,garasi,g a ' 4 a . s i ,Garasi,g a ' 4 a . s i ,garasi,g a ' 4 a . s i ,Garasi,g a ' 4 a . s i ,garasi,ga'4a.si,Garasi,ga'4a.si
1.6,garfio,4,garfio,garfio,garfio,NC,garfio,' g a 4 . f j o ,garfio,' g a 4 . f j o ,garfio,' g a 4 . f j o ,garfio,' g a 4 . f j o ,garfio,'ga4.fjo,garfio,'ga4.fjo
